subject_id,success,cost,r_max,K_M,c,d,g,u,p_low,p_high,H_on,H_off,tau_q
1,True,495.16691774485133,0.3010713193356693,1.0001071660236756,0.10000001239939661,0.1200224805941568,0.4527633657697701,0.6000091481385776,0.10357544022757037,2.50000256999779,0.5500081357794857,0.7,4.000033965583052
2,True,75.78388064604981,0.3,1.0,0.1,0.12,0.45,0.6,0.1,2.5,0.55,0.7,4.0
3,True,238.80964375191155,0.30161620359206454,1.005390558403605,0.09999999832003226,0.12000303833939759,0.4527709780803938,0.5999977232248008,0.1034574348928286,2.5000006375403774,0.55,0.7,4.000009806557179
4,True,2.8606259869167747,0.25377607392589113,1.921536015799006,0.06412667684526167,0.3842292249672889,0.0515196612118764,0.200000000000063,0.7936566638569095,2.1834875062855064,0.5041246602330406,0.7,14.726802928240957
5,True,28.675416492313268,0.30228057082208354,1.9364114284249285,0.021149999668054732,0.3883988559719123,0.06411303510586813,0.2000186033672072,0.7947558134888965,2.3564888029293503,0.5382987616828925,0.7,17.396944870963157
6,True,66.24035804201111,0.3001763664991515,1.1116091826161036,0.10179108424150414,0.18179908231853267,0.43127337079460476,0.5240835389787134,0.3274818076872719,2.3150874392445537,0.55,0.7057074203949388,4.721732308254839
7,True,199.00076076171229,0.2999974347917018,0.999992856305995,0.09999999997430839,0.11999865377127099,0.4499958808582843,0.5999999715016853,0.09999914432603914,2.500000007828331,0.5499965445509476,0.7,4.000000107731946
8,True,8.655718443146181,0.3005797615319815,1.8240367616861017,0.10003141912941611,0.371705371560247,0.05660007081215519,0.2036999579916844,0.7835988379395943,1.7740510791743551,0.5460656329101857,0.7,6.0711271176691834
9,True,518.3838314501356,0.3023677802085904,1.0175871615032785,0.10010385427928549,0.12194746839569046,0.4429558926874621,0.5932671687004478,0.10601086495200307,1.7808836434585613,0.547716051763919,0.8818538560608378,6.044485961250859
10,True,23.926387879423665,0.3341295056045954,1.9859405740947633,0.08160548772391925,0.39641021632849416,0.06348167550456942,0.2043447434047629,0.7949084888724715,3.6289194908945115,0.55,0.7,20.176291879720782
12,True,60.13833987236718,0.3070204918578338,1.9878444369136643,0.09749909585722576,0.3939227442177053,0.0819621769043893,0.20000000000002052,0.7995370686001347,3.3593320417657653,0.55,0.7,23.980516241944752
13,True,0.63256400759356,0.16119556221163134,1.688498486811092,0.09245487987717632,0.3219542392287656,0.14587128880841135,0.25679994409793916,0.6497366712764179,3.391366272611462,0.55,0.7,15.85104929790336
14,True,10.58103672786364,0.43765341534242325,1.9581495656594616,0.07980582211084501,0.38647363050208455,0.1416898684905442,0.20000109509171707,0.7830478889659751,3.6307389819414695,0.55,0.7,19.478282959948295
17,True,189.66365006022363,0.5944968049042604,1.999999888115682,0.2499961789092749,0.3999999946782405,0.05000000000000001,0.20000000000000004,0.7999999999995161,3.293391169764388,0.20299999999999996,0.7,16.2437382232531
19,True,17.039144623451417,0.21586947360879274,1.985882654317483,0.020046592635048,0.39669996846677263,0.06943378823119657,0.20359713161274526,0.7928592004651409,3.996350566175436,0.6120592734626682,0.7,23.948170708081463
20,True,5.971933336393756,0.40406095207521664,1.9667747372002224,0.07791423982874232,0.3845425202024699,0.09981703679775995,0.2003249651259399,0.7321075946337532,3.998569536450579,0.55,0.7,23.955833775846347
21,True,32.31018624736591,0.32578948225730564,1.9968377009921963,0.08696143038430243,0.39918764065143303,0.055813985026140336,0.20013654325381958,0.7992820731060253,3.6304110597800996,0.55,0.7,19.79378832962497
23,True,3.917854117677668,0.3013373635931384,1.7148306566821803,0.021149999999999974,0.34266193382527754,0.19316216758420543,0.20332017234757654,0.742296288044798,2.5604731191197683,0.55,0.7,5.225872302368078
24,True,156.6661037466163,0.30000663849269543,1.0226753616056088,0.09998651318714137,0.13830348864391254,0.39890448554281926,0.5871186967526123,0.15776297115094487,2.506406533123534,0.5509778897379265,0.7,4.081616426721849
25,True,1.7102485315828777,0.5076227337026833,1.5672168146070815,0.20274158174262374,0.3104950493368445,0.3762073268522539,0.21405783792334884,0.7519175103049195,3.5664918866857476,0.55,0.7,6.172867151867555
26,True,5.294989965106797,0.30639518060661597,1.9973894868393132,0.04056282874185782,0.39938802625239506,0.0521413908443524,0.2010172543945243,0.7988993425576825,3.9952151288747553,0.5331165252096172,0.7,23.78925403744701
27,True,16.234042560243424,0.42273348182932835,1.9619236836099954,0.12332767877661054,0.38530918305478984,0.1585871761826789,0.20000650089155647,0.7929962760497327,3.9999879705160812,0.55,0.7,23.999754370915404
30,True,22.54122054069372,0.24059040909373897,1.9945745710789935,0.020143032245616574,0.39874073290955864,0.05083393877261703,0.2000002534739838,0.798452082165578,3.9987686574280774,0.55,0.7,23.984248929391292
32,True,24.43986406687462,0.34357165774432835,1.985427441264379,0.08199046339329644,0.39567002553823205,0.07717697352555855,0.20289296249305924,0.7971822723732767,3.9968277559751644,0.5499999999999998,0.7,23.94525895949525
33,True,48.91101226439481,0.14870437002950496,1.9999995383583342,0.02043468082316828,0.39999992413987623,0.05000004808663935,0.20000000298207707,0.7999998784320012,3.998901119337576,0.55,0.7,23.985945038033012
35,True,5.619539598771327,0.38760358644786047,1.9685248144166987,0.06310682718016192,0.3910800735457558,0.09345189294040454,0.2000115618905528,0.793344996254583,1.618331169057271,0.550000000000001,0.7,7.321623126981329
36,True,142.42954597957845,0.325490585377817,1.998651851215127,0.08320117901624706,0.3996530012476601,0.05206680623182197,0.2005676138158503,0.79952212862128,3.5727706481098944,0.55,0.7,19.08926949567615
37,True,280.2668874279553,0.599998091787423,1.9999999979894967,0.0200000998771018,0.39999999953547993,0.05000000000000001,0.20000000000000004,0.7999999999932236,3.3298768324505876,0.20299999999999996,0.7,16.72927613603745
38,True,118.97310983449414,0.3110934455622513,1.9742819579606765,0.09445327746348305,0.3916943756942464,0.11195191349469709,0.2000000001196294,0.7969590814795282,3.995505680581654,0.55,0.7,23.47625358888907
39,True,43.51163468112268,0.23643853116976735,1.8314179203162115,0.10364323112227147,0.36588767894311247,0.06230723010858662,0.20002755249045698,0.7440243918269762,3.345082415871957,0.5499995867711919,0.7,15.325528299401126
40,True,4.928076381960833,0.3219636487387258,1.979535735798895,0.07892192613182135,0.39410340229341856,0.07677799898629088,0.20000000000823354,0.7960962437423287,3.9963860450763997,0.55,0.7,23.95235268262
