subject_id,success,cost,r_max,K_M,c,d,g,u,p_low,p_high,H_on,H_off,tau_q,N,mean,vmin,vmax,RMSE,NRMSE,p_gap,H_band,flag_high_cost,flag_small_p_gap,flag_narrow_band,flag_bad_rmse,flag_any
13,True,0.63256400759356,0.1611955622116313,1.688498486811092,0.0924548798771763,0.3219542392287656,0.1458712888084113,0.2567999440979391,0.6497366712764179,3.391366272611462,0.55,0.7,15.85104929790336,6,6.673561468166667,4.976939194,10.65828255,0.45918914316200177,0.08082404360881613,2.741629601335044,0.1499999999999999,False,False,False,False,False
4,True,2.8606259869167747,0.2537760739258911,1.921536015799006,0.0641266768452616,0.3842292249672889,0.0515196612118764,0.200000000000063,0.7936566638569095,2.1834875062855064,0.5041246602330406,0.7,14.726802928240955,6,13.129945236666666,10.56273867,17.46622927,0.9764947494169771,0.1414494211691948,1.389830842428597,0.19587533976695937,False,False,False,False,False
40,True,4.928076381960833,0.3219636487387258,1.979535735798895,0.0789219261318213,0.3941034022934185,0.0767779989862908,0.2000000000082335,0.7960962437423287,3.9963860450764,0.55,0.7,23.95235268262,6,13.302070248333335,10.88210931,17.79534408,1.2816755156123867,0.18539447281238314,3.2002898013340717,0.1499999999999999,False,False,False,False,False
35,True,5.619539598771327,0.3876035864478604,1.968524814416699,0.0631068271801619,0.3910800735457558,0.0934518929404045,0.2000115618905528,0.793344996254583,1.618331169057271,0.550000000000001,0.7,7.321623126981329,6,10.280861752166667,7.55356474,13.44814065,1.3686416135194448,0.23218661264461432,0.824986172802688,0.1499999999999989,False,False,False,False,False
14,True,10.58103672786364,0.4376534153424232,1.9581495656594616,0.079805822110845,0.3864736305020845,0.1416898684905442,0.200001095091717,0.7830478889659751,3.6307389819414695,0.55,0.7,19.47828295994829,6,8.939475532666666,4.624603035,12.10784605,1.8780341430925087,0.2509652752594069,2.847691092975494,0.1499999999999999,False,False,False,False,False
19,True,17.039144623451417,0.2158694736087927,1.985882654317483,0.020046592635048,0.3966999684667726,0.0694337882311965,0.2035971316127452,0.7928592004651409,3.996350566175436,0.6120592734626682,0.7,23.948170708081463,6,12.317119597333333,9.372517054,17.77092013,2.3832152388073986,0.28377004738173134,3.203491365710295,0.08794072653733176,False,False,False,False,False
20,True,5.971933336393756,0.4040609520752166,1.9667747372002224,0.0779142398287423,0.3845425202024699,0.0998170367977599,0.2003249651259399,0.7321075946337532,3.998569536450579,0.55,0.7,23.955833775846347,6,9.726531145833333,7.361418214,12.19345532,1.410901997115528,0.291989065101258,3.266461941816826,0.1499999999999999,False,False,False,False,False
10,True,23.926387879423665,0.3341295056045954,1.9859405740947635,0.0816054877239192,0.3964102163284941,0.0634816755045694,0.2043447434047629,0.7949084888724715,3.628919490894512,0.55,0.7,20.176291879720782,6,13.384357455333335,9.182389852,18.79519486,2.8240861577640572,0.2937837764745865,2.8340110020220406,0.1499999999999999,False,False,False,False,False
39,True,43.51163468112268,0.2364385311697673,1.8314179203162115,0.1036432311222714,0.3658876789431124,0.0623072301085866,0.2000275524904569,0.7440243918269762,3.345082415871957,0.5499995867711919,0.7,15.325528299401126,6,15.399357918333335,10.35837579,23.0869725,3.8083957550444905,0.2991999700998061,2.6010580240449808,0.15000041322880808,False,False,False,False,False
25,True,1.7102485315828777,0.5076227337026833,1.5672168146070815,0.2027415817426237,0.3104950493368445,0.3762073268522539,0.2140578379233488,0.7519175103049195,3.566491886685748,0.55,0.7,6.172867151867555,5,5.890721496199999,4.517709699,7.27068609,0.8271030241953847,0.3004395631213333,2.8145743763808286,0.1499999999999999,False,False,False,False,False
27,True,16.234042560243424,0.4227334818293283,1.9619236836099956,0.1233276787766105,0.3853091830547898,0.1585871761826789,0.2000065008915564,0.7929962760497327,3.999987970516081,0.55,0.7,23.999754370915404,6,9.334504562666666,7.072153002,14.67130522,2.326230323953572,0.3061170848036791,3.206991694466348,0.1499999999999999,False,False,False,False,False
23,True,3.917854117677668,0.3013373635931384,1.7148306566821805,0.0211499999999999,0.3426619338252775,0.1931621675842054,0.2033201723475765,0.742296288044798,2.5604731191197683,0.55,0.7,5.225872302368078,6,7.5025208155,5.671134456,9.398023449,1.1427822944722335,0.3066316964681951,1.8181768310749704,0.1499999999999999,False,False,False,False,False
30,True,22.54122054069372,0.2405904090937389,1.9945745710789933,0.0201430322456165,0.3987407329095586,0.050833938772617,0.2000002534739838,0.798452082165578,3.998768657428077,0.55,0.7,23.98424892939129,5,16.24140191,12.14308301,21.36145083,3.002746778580819,0.3257351883991996,3.200316575262499,0.1499999999999999,False,False,False,False,False
8,True,8.655718443146181,0.3005797615319815,1.8240367616861015,0.1000314191294161,0.371705371560247,0.0566000708121551,0.2036999579916844,0.7835988379395943,1.7740510791743551,0.5460656329101857,0.7,6.071127117669184,6,15.314376753333333,12.9257347,18.04264714,1.6985992702955948,0.33195785353239204,0.9904522412347608,0.15393436708981423,False,False,False,False,False
32,True,24.43986406687462,0.3435716577443283,1.985427441264379,0.0819904633932964,0.395670025538232,0.0771769735255585,0.2028929624930592,0.7971822723732767,3.996827755975165,0.5499999999999998,0.7,23.94525895949525,6,11.444101648333335,9.145339802,17.21939628,2.854228679630431,0.35350615733337587,3.199645483601888,0.15000000000000013,False,False,False,True,True
5,True,28.675416492313268,0.3022805708220835,1.9364114284249283,0.0211499996680547,0.3883988559719123,0.0641130351058681,0.2000186033672072,0.7947558134888965,2.3564888029293503,0.5382987616828925,0.7,17.396944870963157,6,11.720712442,7.426769281,16.11374478,3.091677888154654,0.35589807850966676,1.5617329894404537,0.16170123831710748,False,False,False,True,True
26,True,5.294989965106797,0.3063951806066159,1.9973894868393127,0.0405628287418578,0.399388026252395,0.0521413908443524,0.2010172543945243,0.7988993425576825,3.9952151288747553,0.5331165252096172,0.7,23.78925403744701,6,16.665387,14.88445054,18.54282495,1.3285317666640866,0.3631481138268968,3.196315786317073,0.1668834747903828,False,False,False,True,True
36,True,142.42954597957845,0.325490585377817,1.998651851215127,0.083201179016247,0.3996530012476601,0.0520668062318219,0.2005676138158503,0.79952212862128,3.5727706481098944,0.55,0.7,19.08926949567615,6,15.693491007333334,9.203279774,28.06924418,6.890320408117909,0.3652249235626969,2.7732485194886145,0.1499999999999999,True,False,False,True,True
38,True,118.97310983449414,0.3110934455622513,1.9742819579606763,0.094453277463483,0.3916943756942464,0.111951913494697,0.2000000001196294,0.7969590814795282,3.995505680581654,0.55,0.7,23.47625358888907,6,15.890791176999999,9.621393532,25.89862363,6.297436246454958,0.38688623362452385,3.1985465991021256,0.1499999999999999,True,False,False,True,True
33,True,48.91101226439481,0.1487043700295049,1.9999995383583344,0.0204346808231682,0.3999999241398762,0.0500000480866393,0.200000002982077,0.7999998784320012,3.998901119337576,0.55,0.7,23.98594503803301,6,19.437622925,16.14458528,26.47236597,4.037780424292321,0.3909630292790737,3.198901240905575,0.1499999999999999,False,False,False,True,True
37,True,280.2668874279553,0.599998091787423,1.999999997989497,0.0200000998771018,0.3999999995354799,0.05,0.2,0.7999999999932236,3.329876832450588,0.2029999999999999,0.7,16.72927613603745,6,19.338478673,5.687151178,29.98859444,9.665520979715394,0.3977344421690914,2.5298768324573646,0.49700000000000005,True,False,False,True,True
21,True,32.31018624736591,0.3257894822573056,1.9968377009921965,0.0869614303843024,0.399187640651433,0.0558139850261403,0.2001365432538195,0.7992820731060253,3.6304110597801,0.55,0.7,19.79378832962497,6,15.757985466666668,11.13965729,18.38309977,3.28177727496174,0.45306872858079766,2.8311289866740745,0.1499999999999999,False,False,False,True,True
2,True,75.78388064604981,0.3,1.0,0.1,0.12,0.45,0.6,0.1,2.5,0.55,0.7,4.0,6,7.405551637666666,4.261591373,15.2151045,5.026061435028751,0.4588538286077092,2.4,0.1499999999999999,True,False,False,True,True
17,True,189.66365006022363,0.5944968049042604,1.999999888115682,0.2499961789092749,0.3999999946782405,0.05,0.2,0.7999999999995161,3.293391169764388,0.2029999999999999,0.7,16.2437382232531,6,18.565487270000002,10.92358455,27.06999532,7.951177062972577,0.492442387118371,2.493391169764872,0.49700000000000005,True,False,False,True,True
6,True,66.24035804201111,0.3001763664991515,1.1116091826161036,0.1017910842415041,0.1817990823185326,0.4312733707946047,0.5240835389787134,0.3274818076872719,2.3150874392445537,0.55,0.7057074203949388,4.721732308254839,6,5.569081984166666,3.158772176,7.894185332,4.698948749171142,0.992299635612015,1.9876056315572819,0.1557074203949388,True,False,False,True,True
9,True,518.3838314501356,0.3023677802085904,1.0175871615032783,0.1001038542792854,0.1219474683956904,0.4429558926874621,0.5932671687004478,0.106010864952003,1.780883643458561,0.547716051763919,0.8818538560608378,6.044485961250859,6,15.819929120833335,8.511241645,21.71285631,13.145136381315279,0.995721865459802,1.674872778506558,0.33413780429691875,True,False,False,True,True
7,True,199.00076076171229,0.2999974347917018,0.999992856305995,0.0999999999743083,0.1199986537712709,0.4499958808582843,0.5999999715016853,0.0999991443260391,2.500000007828331,0.5499965445509476,0.7,4.000000107731946,6,9.661540758500001,6.454914932,14.10476493,8.144543383184276,1.0646670699835434,2.400000863502292,0.15000345544905236,True,False,False,True,True
12,True,60.13833987236718,0.3070204918578338,1.9878444369136643,0.0974990958572257,0.3939227442177053,0.0819621769043893,0.2000000000000205,0.7995370686001347,3.3593320417657653,0.55,0.7,23.980516241944752,6,16.466410143333334,15.20515142,18.3312297,4.47728860928007,1.4322381617648,2.5597949731656304,0.1499999999999999,True,False,False,True,True
24,True,156.6661037466163,0.3000066384926954,1.0226753616056088,0.0999865131871413,0.1383034886439125,0.3989044855428192,0.5871186967526123,0.1577629711509448,2.506406533123534,0.5509778897379265,0.7,4.081616426721849,6,8.451407020833333,6.243625681,10.70723591,7.2264814800984185,1.618976816826006,2.348643561972589,0.14902211026207346,True,False,False,True,True
3,True,238.80964375191155,0.3016162035920645,1.005390558403605,0.0999999983200322,0.1200030383393975,0.4527709780803938,0.5999977232248008,0.1034574348928286,2.5000006375403774,0.55,0.7,4.000009806557179,6,10.359159281166667,8.094964676,12.37457345,8.922063359109849,2.084784808675563,2.396543202647549,0.1499999999999999,True,False,False,True,True
1,True,495.1669177448513,0.3010713193356693,1.0001071660236756,0.1000000123993966,0.1200224805941568,0.4527633657697701,0.6000091481385776,0.1035754402275703,2.50000256999779,0.5500081357794857,0.7,4.000033965583052,6,14.295983536666668,12.29078016,17.2579397,12.847398150920823,2.5864677885745584,2.39642712977022,0.14999186422051425,True,False,False,True,True
