N_HILL,KQ,p_high_scale,rHP_scale,K_u_scale,gamma_scale,n_stable,dH,basin_high_frac,score
3,100,1.05,1.1,1.1,1.1,2,0.20216768550366884,0.0,0.05216768550366885
3,80,1.15,1.1,1.1,0.9,2,0.20216768518936298,0.0,0.05216768518936299
3,100,1.15,1.0,1.1,1.1,2,0.20180406305655985,0.0,0.05180406305655985
3,100,0.95,0.9,1.1,1.0,2,0.2014414899678008,0.0,0.05144148996780082
3,100,1.05,0.9,1.1,0.9,2,0.20144148987573904,0.0,0.051441489875739044
3,80,1.15,0.9,1.1,1.0,2,0.20144148977384632,0.0,0.05144148977384633
3,100,1.15,0.9,1.1,1.0,2,0.20144148973462797,0.0,0.051441489734627976
3,100,0.95,1.1,1.0,1.0,2,0.19087493549315074,0.0,0.040874935493150744
3,80,0.95,1.1,1.0,1.0,2,0.19087493549309756,0.0,0.040874935493097564
3,100,1.05,1.0,1.0,0.9,2,0.1905481383828846,0.0,0.040548138382884596
3,80,1.05,1.0,1.0,0.9,2,0.19054813836113782,0.0,0.040548138361137825
3,100,1.15,1.0,1.0,0.9,2,0.19054813812968927,0.0,0.04054813812968927
3,80,1.05,1.0,1.0,1.0,2,0.19054813776965307,0.0,0.040548137769653075
3,100,1.05,1.0,1.0,1.0,2,0.19054813775493407,0.0,0.04054813775493407
3,80,1.05,0.9,1.0,1.0,2,0.19022224791929684,0.0,0.04022224791929685
3,80,0.95,0.9,1.0,0.9,2,0.1902222479170724,0.0,0.04022224791707241
3,100,1.05,0.9,1.0,1.1,2,0.19022224404868038,0.0,0.04022224404868038
3,80,1.05,0.9,1.0,1.1,2,0.190222243863098,0.0,0.040222243863098
3,80,1.05,1.1,0.9,1.1,2,0.17923042294853192,0.0,0.029230422948531926
3,100,1.05,1.1,0.9,0.9,2,0.17923042288957616,0.0,0.02923042288957617
3,80,1.15,0.9,0.9,1.1,2,0.1786498565383284,0.0,0.02864985653832841
4,100,0.95,1.1,1.1,1.0,2,0.16443362540988957,0.0,0.014433625409889572
4,80,0.95,1.1,1.1,1.0,2,0.16443362540927564,0.0,0.014433625409275647
4,100,1.05,1.1,1.1,1.0,2,0.16443362540600107,0.0,0.014433625406001072
4,80,1.05,1.1,1.1,1.0,2,0.16443362540597453,0.0,0.014433625405974537
4,80,1.05,1.1,1.1,1.1,2,0.16443362490273053,0.0,0.014433624902730535
4,100,1.05,1.1,1.1,1.1,2,0.1644336248372113,0.0,0.014433624837211306
4,80,0.95,1.0,1.1,0.9,2,0.16417055894905583,0.0,0.014170558949055834
4,100,0.95,1.0,1.1,0.9,2,0.16417055890886292,0.0,0.014170558908862929
4,80,1.05,1.0,1.1,1.1,2,0.1641705587732511,0.0,0.014170558773251102
4,80,1.15,1.0,1.1,0.9,2,0.1641705586110892,0.0,0.014170558611089207
4,100,1.05,1.0,1.1,1.1,2,0.16417055857066573,0.0,0.014170558570665737
4,100,1.15,1.0,1.1,0.9,2,0.16417055845788867,0.0,0.014170558457888671
4,80,1.05,1.0,1.1,1.0,2,0.16417055803098374,0.0,0.014170558030983743
4,100,1.05,1.0,1.1,1.0,2,0.16417055802948782,0.0,0.014170558029487829
4,80,0.95,0.9,1.1,0.9,2,0.16390822507636085,0.0,0.013908225076360858
4,100,1.05,0.9,1.1,0.9,2,0.16390822507194178,0.0,0.013908225071941782
4,100,0.95,0.9,1.1,0.9,2,0.1639082250717061,0.0,0.01390822507170611
4,100,1.05,0.9,1.1,1.1,2,0.1639082249964387,0.0,0.013908224996438706
4,80,1.05,0.9,1.1,1.1,2,0.16390822499466629,0.0,0.01390822499466629
4,80,1.15,0.9,1.1,0.9,2,0.16390822491198528,0.0,0.01390822491198529
4,100,1.15,0.9,1.1,0.9,2,0.16390822487761333,0.0,0.01390822487761334
4,100,1.05,0.9,1.1,1.0,2,0.16390822058812302,0.0,0.013908220588123021
4,80,1.05,0.9,1.1,1.0,2,0.16390822034716537,0.0,0.013908220347165379
4,80,1.15,0.9,1.1,1.1,2,0.16390820334932782,0.0,0.013908203349327825
4,80,1.15,1.1,1.0,0.9,2,0.15505185152326173,0.0,0.005051851523261736
4,100,1.15,1.1,1.0,0.9,2,0.15505185151775386,0.0,0.005051851517753864
4,100,1.15,1.1,1.0,1.0,2,0.15505185149765338,0.0,0.005051851497653387
4,80,1.15,1.1,1.0,1.0,2,0.15505185149764178,0.0,0.005051851497641785
4,100,1.15,1.0,1.0,0.9,2,0.15481647100299542,0.0,0.004816471002995426
4,80,1.15,1.0,1.0,0.9,2,0.1548164709970896,0.0,0.004816470997089595
4,100,0.95,1.0,1.0,1.0,2,0.15481647097995008,0.0,0.004816470979950083
4,80,0.95,1.0,1.0,1.0,2,0.15481647097807444,0.0,0.004816470978074444
4,100,1.15,1.0,1.0,1.0,2,0.1548164709417461,0.0,0.004816470941746115
4,80,1.15,1.0,1.0,1.0,2,0.15481647094168313,0.0,0.0048164709416831375
4,100,1.05,1.0,1.0,1.1,2,0.15481647034868284,0.0,0.00481647034868285
4,100,1.05,1.0,1.0,0.9,2,0.1548164680755896,0.0,0.004816468075589608
4,80,1.05,1.0,1.0,0.9,2,0.15481646806198443,0.0,0.004816468061984436
4,80,1.15,0.9,1.0,1.1,2,0.1545817165460105,0.0,0.0045817165460105
4,80,1.05,0.9,1.0,1.0,2,0.15458171653010666,0.0,0.0045817165301066665
4,100,1.05,0.9,1.0,1.0,2,0.15458171652348748,0.0,0.004581716523487489
4,80,0.95,0.9,1.0,1.0,2,0.1545817163245857,0.0,0.004581716324585705
4,100,0.95,0.9,1.0,1.0,2,0.15458171628036638,0.0,0.0045817162803663825
4,80,1.05,1.1,0.9,1.0,2,0.14545755665322557,0.0,-0.004542443346774422
4,100,1.15,1.1,0.9,0.9,2,0.14545755661453644,0.0,-0.004542443385463557
4,80,1.15,1.1,0.9,0.9,2,0.14545755660080598,0.0,-0.004542443399194018
4,100,1.05,1.1,0.9,1.0,2,0.1454575564874923,0.0,-0.004542443512507682
4,100,0.95,1.1,0.9,1.1,2,0.14545755618108797,0.0,-0.004542443818912029
4,100,1.05,1.0,0.9,1.0,2,0.1452489906031767,0.0,-0.004751009396823297
4,100,1.15,1.0,0.9,1.1,2,0.14524899056066592,0.0,-0.00475100943933407
4,100,0.95,1.0,0.9,1.1,2,0.14524899049893253,0.0,-0.004751009501067466
4,80,1.15,1.0,0.9,1.1,2,0.14524899049342663,0.0,-0.004751009506573367
4,80,1.05,1.0,0.9,1.0,2,0.14524899042835712,0.0,-0.004751009571642872
4,80,0.95,0.9,0.9,0.9,2,0.1450409522435499,0.0,-0.004959047756450091
4,100,1.05,0.9,0.9,1.1,2,0.1450409522401462,0.0,-0.004959047759853785
4,100,0.95,0.9,0.9,0.9,2,0.14504095224011784,0.0,-0.004959047759882151
4,100,1.15,0.9,0.9,1.1,2,0.1450409522401168,0.0,-0.004959047759883206
4,80,0.95,0.9,0.9,1.0,2,0.1450409522341708,0.0,-0.0049590477658292
4,100,1.15,0.9,0.9,1.0,2,0.1450409522294545,0.0,-0.004959047770545483
4,80,1.15,0.9,0.9,1.1,2,0.1450409522245874,0.0,-0.0049590477754125895
4,80,1.05,0.9,0.9,1.1,2,0.1450409521919665,0.0,-0.004959047808033495
4,100,0.95,0.9,0.9,1.1,2,0.14504095216476634,0.0,-0.004959047835233654
5,80,1.05,1.1,1.1,0.9,2,0.14412351048692207,0.0,-0.005876489513077926
5,80,1.05,1.1,1.1,1.0,2,0.14412351029084572,0.0,-0.005876489709154276
5,100,1.05,1.1,1.1,1.0,2,0.14412351002905233,0.0,-0.005876489970947668
5,80,1.15,0.9,1.1,1.0,2,0.14369912341382848,0.0,-0.006300876586171511
5,100,1.15,0.9,1.1,1.0,2,0.14369912341366398,0.0,-0.006300876586336018
5,80,1.05,1.1,1.0,0.9,2,0.13591888114599446,0.0,-0.014081118854005537
5,100,1.05,1.1,1.0,0.9,2,0.1359188811430357,0.0,-0.014081118856964281
5,100,0.95,1.0,1.0,1.1,2,0.13572892241265927,0.0,-0.014271077587340725
5,100,1.05,0.9,1.0,1.0,2,0.13553944720556468,0.0,-0.01446055279443531
5,80,1.05,0.9,1.0,1.0,2,0.13553944639506216,0.0,-0.014460553604937837
5,100,1.15,1.1,0.9,0.9,2,0.12756953714773087,0.0,-0.02243046285226913
5,100,0.95,1.1,0.9,1.1,2,0.12756953705476512,0.0,-0.022430462945234875
5,80,0.95,1.1,0.9,1.1,2,0.12756953705462848,0.0,-0.022430462945371515
5,100,1.15,1.1,0.9,1.0,2,0.12756953705406252,0.0,-0.02243046294593748
5,80,1.15,1.1,0.9,0.9,2,0.1275695370423291,0.0,-0.0224304629576709
5,80,1.15,1.1,0.9,1.0,2,0.12756953702232074,0.0,-0.022430462977679255
5,80,0.95,1.0,0.9,1.1,2,0.12740125105310787,0.0,-0.022598748946892122
5,100,0.95,1.0,0.9,1.1,2,0.12740125092848922,0.0,-0.02259874907151077
5,100,0.95,0.9,0.9,0.9,2,0.12723337014871827,0.0,-0.022766629851281722
5,80,0.95,0.9,0.9,0.9,2,0.12723337013844568,0.0,-0.02276662986155431
3,80,0.95,0.9,0.9,1.0,1,0.0,0.0,0.0
3,80,0.95,0.9,0.9,1.1,1,0.0,0.0,0.0
3,80,0.95,0.9,0.9,0.9,1,0.0,0.0,0.0
3,80,0.95,0.9,1.0,1.0,1,0.0,0.0,0.0
3,80,0.95,0.9,1.0,1.1,1,0.0,0.0,0.0
3,80,0.95,0.9,1.1,1.0,1,0.0,0.0,0.0
3,80,0.95,0.9,1.1,1.1,1,0.0,0.0,0.0
3,80,0.95,0.9,1.1,0.9,1,0.0,0.0,0.0
3,80,0.95,1.0,0.9,1.0,1,0.0,0.0,0.0
3,80,0.95,1.0,0.9,1.1,1,0.0,0.0,0.0
3,80,0.95,1.0,0.9,0.9,1,0.0,0.0,0.0
3,80,0.95,1.0,1.0,1.0,1,0.0,0.0,0.0
3,80,0.95,1.0,1.0,1.1,1,0.0,0.0,0.0
3,80,0.95,1.0,1.0,0.9,1,0.0,0.0,0.0
3,80,0.95,1.0,1.1,1.0,1,0.0,0.0,0.0
3,80,0.95,1.0,1.1,1.1,1,0.0,0.0,0.0
3,80,0.95,1.0,1.1,0.9,1,0.0,0.0,0.0
3,80,0.95,1.1,0.9,1.0,1,0.0,0.0,0.0
3,80,0.95,1.1,0.9,1.1,1,0.0,0.0,0.0
3,80,0.95,1.1,0.9,0.9,1,0.0,0.0,0.0
3,80,0.95,1.1,1.0,1.1,1,0.0,0.0,0.0
3,80,0.95,1.1,1.0,0.9,1,0.0,0.0,0.0
3,80,0.95,1.1,1.1,1.0,1,0.0,0.0,0.0
3,80,0.95,1.1,1.1,1.1,1,0.0,0.0,0.0
3,80,0.95,1.1,1.1,0.9,1,0.0,0.0,0.0
3,80,1.05,0.9,0.9,1.0,1,0.0,0.0,0.0
3,80,1.05,0.9,0.9,1.1,1,0.0,0.0,0.0
3,80,1.05,0.9,0.9,0.9,1,0.0,0.0,0.0
3,80,1.05,0.9,1.0,0.9,1,0.0,0.0,0.0
3,80,1.05,0.9,1.1,1.0,1,0.0,0.0,0.0
3,80,1.05,0.9,1.1,1.1,1,0.0,0.0,0.0
3,80,1.05,0.9,1.1,0.9,1,0.0,0.0,0.0
3,80,1.05,1.0,0.9,1.0,1,0.0,0.0,0.0
3,80,1.05,1.0,0.9,1.1,1,0.0,0.0,0.0
3,80,1.05,1.0,0.9,0.9,1,0.0,0.0,0.0
3,80,1.05,1.0,1.0,1.1,1,0.0,0.0,0.0
3,80,1.05,1.0,1.1,1.0,1,0.0,0.0,0.0
3,80,1.05,1.0,1.1,1.1,1,0.0,0.0,0.0
3,80,1.05,1.0,1.1,0.9,1,0.0,0.0,0.0
3,80,1.05,1.1,0.9,1.0,1,0.0,0.0,0.0
3,80,1.05,1.1,0.9,0.9,1,0.0,0.0,0.0
3,80,1.05,1.1,1.0,1.0,1,0.0,0.0,0.0
3,80,1.05,1.1,1.0,1.1,1,0.0,0.0,0.0
3,80,1.05,1.1,1.0,0.9,1,0.0,0.0,0.0
3,80,1.05,1.1,1.1,1.0,1,0.0,0.0,0.0
3,80,1.05,1.1,1.1,1.1,1,0.0,0.0,0.0
3,80,1.05,1.1,1.1,0.9,1,0.0,0.0,0.0
3,80,1.15,0.9,0.9,1.0,1,0.0,0.0,0.0
3,80,1.15,0.9,0.9,0.9,1,0.0,0.0,0.0
3,80,1.15,0.9,1.0,1.0,1,0.0,0.0,0.0
3,80,1.15,0.9,1.0,1.1,1,0.0,0.0,0.0
3,80,1.15,0.9,1.0,0.9,1,0.0,0.0,0.0
3,80,1.15,0.9,1.1,1.1,1,0.0,0.0,0.0
3,80,1.15,0.9,1.1,0.9,1,0.0,0.0,0.0
3,80,1.15,1.0,0.9,1.0,1,0.0,0.0,0.0
3,80,1.15,1.0,0.9,1.1,1,0.0,0.0,0.0
3,80,1.15,1.0,0.9,0.9,1,0.0,0.0,0.0
3,80,1.15,1.0,1.0,1.0,1,0.0,0.0,0.0
3,80,1.15,1.0,1.0,1.1,1,0.0,0.0,0.0
3,80,1.15,1.0,1.0,0.9,1,0.0,0.0,0.0
3,80,1.15,1.0,1.1,1.0,1,0.0,0.0,0.0
3,80,1.15,1.0,1.1,1.1,1,0.0,0.0,0.0
3,80,1.15,1.0,1.1,0.9,1,0.0,0.0,0.0
3,80,1.15,1.1,0.9,1.0,1,0.0,0.0,0.0
3,80,1.15,1.1,0.9,1.1,1,0.0,0.0,0.0
3,80,1.15,1.1,0.9,0.9,1,0.0,0.0,0.0
3,80,1.15,1.1,1.0,1.0,1,0.0,0.0,0.0
3,80,1.15,1.1,1.0,1.1,1,0.0,0.0,0.0
3,80,1.15,1.1,1.0,0.9,1,0.0,0.0,0.0
3,80,1.15,1.1,1.1,1.0,1,0.0,0.0,0.0
3,80,1.15,1.1,1.1,1.1,1,0.0,0.0,0.0
3,100,0.95,0.9,0.9,1.0,1,0.0,0.0,0.0
3,100,0.95,0.9,0.9,1.1,1,0.0,0.0,0.0
3,100,0.95,0.9,0.9,0.9,1,0.0,0.0,0.0
3,100,0.95,0.9,1.0,1.0,1,0.0,0.0,0.0
3,100,0.95,0.9,1.0,1.1,1,0.0,0.0,0.0
3,100,0.95,0.9,1.0,0.9,1,0.0,0.0,0.0
3,100,0.95,0.9,1.1,1.1,1,0.0,0.0,0.0
3,100,0.95,0.9,1.1,0.9,1,0.0,0.0,0.0
3,100,0.95,1.0,0.9,1.0,1,0.0,0.0,0.0
3,100,0.95,1.0,0.9,1.1,1,0.0,0.0,0.0
3,100,0.95,1.0,0.9,0.9,1,0.0,0.0,0.0
3,100,0.95,1.0,1.0,1.0,1,0.0,0.0,0.0
3,100,0.95,1.0,1.0,1.1,1,0.0,0.0,0.0
3,100,0.95,1.0,1.0,0.9,1,0.0,0.0,0.0
3,100,0.95,1.0,1.1,1.0,1,0.0,0.0,0.0
3,100,0.95,1.0,1.1,1.1,1,0.0,0.0,0.0
3,100,0.95,1.0,1.1,0.9,1,0.0,0.0,0.0
3,100,0.95,1.1,0.9,1.0,1,0.0,0.0,0.0
3,100,0.95,1.1,0.9,1.1,1,0.0,0.0,0.0
3,100,0.95,1.1,0.9,0.9,1,0.0,0.0,0.0
3,100,0.95,1.1,1.0,1.1,1,0.0,0.0,0.0
3,100,0.95,1.1,1.0,0.9,1,0.0,0.0,0.0
3,100,0.95,1.1,1.1,1.0,1,0.0,0.0,0.0
